2026-02-02 00:42:28 | INFO | profile | Batch processed records=582 duration_ms=405 (env=prod, region=us-east-1, ip=166.228.7.82, request_id=unakjq3br10xagmk, trace_id=bsenqm49f5a8q4wkq7yag2jc, ua="curl/8.4.0")
2026-02-02 00:42:29 | INFO | search | File uploaded id=file_xt5k7zvvg0 bytes=779927 (env=prod, region=me-south-1, ip=153.89.133.24, request_id=w2fvzzfzzoxtqm4y, trace_id=wol2fcqhi4v82og0ej7b5kox, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-02 00:42:30 | INFO | db | Cache hit key=user:5790 ttl_s=2134 (env=staging, region=ap-southeast-1, ip=26.252.172.85, request_id=54ghzi8vijczgpoi, trace_id=5ib18j60aw3289mu8ptx8tx8, ua="PostmanRuntime/7.36.0")
2026-02-02 00:42:31 | INFO | cdn | User logout success user_id=2971 (env=prod, region=eu-west-1, ip=19.69.18.110, request_id=wexo5vppvs4h4o2g, trace_id=v2h5u85mwzv19ief9bwffuel, ua="PostmanRuntime/7.36.0")
2026-02-02 00:42:32 | INFO | worker | Job completed successfully: job=cleanup-sessions duration_ms=1510 (env=staging, region=me-south-1, ip=142.238.221.65, request_id=pf8h0kptu91qjzcn, trace_id=85q33lp1fniirf9zauyxceut, ua="curl/8.4.0")
2026-02-02 00:42:33 | WARN | api | Queue backlog growing size=9717 (env=prod, region=me-south-1, ip=221.140.117.5, request_id=h0n3i3btyl2mv9gv, trace_id=vcxlf5ua64zerbrx2mxr3xmi, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 00:42:34 | INFO | frontend | File uploaded id=file_qomylc3php bytes=625900 (env=prod, region=me-south-1, ip=101.83.190.233, request_id=e6edauftwte1esle, trace_id=84rz2xbhe0jymiillnlq0fng, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:42:35 | INFO | gateway | Metrics pushed cpu=59% mem=11% (env=prod, region=ap-southeast-1, ip=149.18.189.92, request_id=aonc83v8f2ee0fs0, trace_id=d01oyee95wnrb2hxbrbvm9k3, ua="curl/8.4.0")
2026-02-02 00:42:36 | INFO | search | Batch processed records=540 duration_ms=1546 (env=prod, region=ap-southeast-1, ip=12.175.253.156, request_id=ogbqknhhpogln1s7, trace_id=jh9t5shjkysjqpban5odbfe3, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:42:37 | INFO | cache | Metrics pushed cpu=55% mem=62% (env=prod, region=ap-southeast-1, ip=241.10.135.35, request_id=lob11ldgv9oi1lew, trace_id=7her8h73sgbn3cunmgm4n1w1, ua="PostmanRuntime/7.36.0")
2026-02-02 00:42:38 | INFO | email | Job completed successfully: job=daily-report duration_ms=521 (env=dev, region=eu-west-1, ip=154.77.121.57, request_id=1wfj9ms2qab2kpg7, trace_id=rmevvot36mtfqkaxg4r1o8c5, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:42:39 | INFO | frontend | Cache miss key=inv:SKU60235 (env=prod, region=ap-southeast-1, ip=228.245.7.203, request_id=2bi3f02ovpoi10ux, trace_id=uljpmbgalikdfot9r0mndz65, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
