2026-02-02 00:42:43 | INFO | auth | User login success user_id=8340 (env=prod, region=ap-southeast-1, ip=40.119.238.105, request_id=js87cu3ugerwglrp, trace_id=olejd3pfvzlmo4vr9j7l6xpy, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:43:07 | INFO | auth | DELETE /inventory/SKU36153 403 (2210ms) (env=prod, region=ap-southeast-1, ip=141.204.62.235, request_id=0s1hfagg5kqbmckl, trace_id=lefuck3xsbvwad0yb4jyaf71, ua="PostmanRuntime/7.36.0")
2026-02-02 00:43:12 | INFO | auth | User logout success user_id=8544 (env=prod, region=ap-southeast-1, ip=74.207.34.30, request_id=u49u73nc8yc3hiba, trace_id=mxzwjzkarind5p9m1j05gpos, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:43:21 | INFO | auth | Config loaded version=5.6.41 (env=prod, region=eu-west-1, ip=231.126.208.198, request_id=4mxcjrovctsfsedw, trace_id=xg7s5uviwwafve4dgk51ygw6, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 00:43:31 | INFO | auth | User logout success user_id=1540 (env=prod, region=me-south-1, ip=130.94.164.86, request_id=dcb6of8529dt1i97, trace_id=lzt17uu6a5qah98m1k06hlkx, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:43:46 | INFO | auth | Job completed successfully: job=invoice-run duration_ms=276 (env=prod, region=eu-west-1, ip=56.87.3.62, request_id=buizpezerab67uzv, trace_id=eog07z8cfrf56ap9j2jdi2ay, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-02 00:44:37 | WARN | auth | Temporary network jitter detected rtt_ms=802 (env=staging, region=eu-west-1, ip=92.83.160.211, request_id=m3sep8v4gx1moqe9, trace_id=1nhfqnxtocqit91j5l5pmx4x, ua="PostmanRuntime/7.36.0")
2026-02-02 00:45:01 | INFO | auth | GET /files/upload 401 (2417ms) (env=dev, region=me-south-1, ip=215.35.20.24, request_id=j9pa5of5qzd5wdc4, trace_id=2ogiragj8jepqhcqzj684ilc, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 00:45:18 | INFO | auth | User logout success user_id=9003 (env=staging, region=ap-southeast-1, ip=240.10.41.252, request_id=knpibafdf98g1oyp, trace_id=jsn1kxpnyi1tuk7gmb963w9h, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:45:21 | INFO | auth | Cache miss key=sess:2272 (env=prod, region=me-south-1, ip=26.9.49.63, request_id=yh46zeepbkxkjwi0, trace_id=cah3rig9xtx6hnqdghu7slhh, ua="PostmanRuntime/7.36.0")
2026-02-02 00:45:42 | INFO | auth | Metrics pushed cpu=14% mem=33% (env=dev, region=eu-west-1, ip=209.162.145.39, request_id=wgkgyhbjat1cc7ib, trace_id=35v1yd0q7sk1p8z0a00x5vt3, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 00:45:53 | WARN | auth | Rate limit nearing threshold remaining=31 (env=prod, region=eu-west-1, ip=74.182.161.98, request_id=0piizq3stipsrtdj, trace_id=i99fovah65j1ryiqh2dpwsde, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:46:10 | WARN | auth | Elevated error rate observed window_s=60 rate=10.0% (env=prod, region=us-east-1, ip=136.204.94.111, request_id=ysraftglbfiaxpuk, trace_id=0364ro9tpre2413melqaoene, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:46:15 | INFO | auth | File uploaded id=file_qtww4p5nks bytes=3886158 (env=staging, region=us-east-1, ip=1.226.27.8, request_id=5lg7m05nggccfizs, trace_id=3zdh0onvob7hkdqvwlsahzgy, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:46:48 | INFO | auth | File uploaded id=file_4aldsd3g96 bytes=4473653 (env=prod, region=me-south-1, ip=6.3.170.93, request_id=8256y6ol5mgv6rwg, trace_id=n76vgijwx6e275z5n7hgs7oa, ua="curl/8.4.0")
2026-02-02 00:46:50 | WARN | auth | Temporary network jitter detected rtt_ms=132 (env=dev, region=ap-southeast-1, ip=219.152.167.196, request_id=f6xwvwhe9vs5xhep, trace_id=dpluthf8agwt861fddfe3hun, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 00:47:13 | INFO | auth | Token refreshed user_id=1357 (env=dev, region=ap-southeast-1, ip=218.109.58.179, request_id=vh7g39pjg48x1r4d, trace_id=bnm10fezcf9n2zzbob782ud5, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
